Year,Primary County,Dual Eligible,Major Diagnostic Category,Episode Disease Category,Beneficiaries with Condition,Beneficiaries with Admissions,Total Inpatient Admissions,Beneficiaries with ER Visits,Total ER Visits
2012,Erie,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1174,850,1323,481,1550
2012,Chautauqua,Non-Dual,Diabetes Mellitus,Diabetes,1177,271,530,593,1782
2012,Warren,Non-Dual,Mental Diseases And Disorders,Depression,1177,280,478,540,1612
2012,Suffolk,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,1179,1076,2972,835,3339
2012,Madison,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1183,244,487,532,1757
2012,Suffolk,Dual,Diseases And Disorders Of The Cardiovascular System,Valvular Disorders,1186,739,1155,331,706
2012,Ulster,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1186,426,883,719,2570
2012,Herkimer,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1187,241,430,457,1104
2012,Nassau,Non-Dual,Substance Abuse,Cocaine Abuse,1187,678,2001,687,2506
2012,Herkimer,Non-Dual,Mental Diseases And Disorders,Depression,1188,289,549,576,1582
2012,Bronx,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,1195,715,2650,750,3176
2012,Albany,Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1196,315,517,498,1756
2012,Ulster,Non-Dual,Diabetes Mellitus,Diabetes,1196,323,559,558,1496
2012,Chautauqua,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1198,234,508,666,2366
2012,Suffolk,Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,1204,1011,1645,391,932
2012,Saratoga,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1205,338,636,566,1894
2012,Bronx,Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,1208,1165,2154,380,748
2012,Richmond,Dual,Mental Diseases And Disorders,Schizophrenia,1210,465,753,436,1021
2012,Queens,Dual,Diabetes Mellitus,Diabetic Nephropathy,1213,729,1357,281,472
2012,Nassau,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1214,530,1559,583,2056
2012,Tompkins,Non-Dual,Mental Diseases And Disorders,Depression,1214,276,463,554,1460
2012,Orange,Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,1217,639,973,507,1507
2012,Franklin,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1218,281,577,607,1942
2012,Dutchess,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1221,164,322,495,1242
2012,Monroe,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1233,362,531,324,1235
2012,Monroe,Non-Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1234,655,1754,760,3538
2012,Queens,Non-Dual,Diseases And Disordes Of The Respiratory System,Status Asthmaticus,1235,715,1349,676,2053
2012,Montgomery,Non-Dual,Mental Diseases And Disorders,Depression,1239,258,454,652,2237
2012,Queens,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder - Severe,1239,663,1904,647,2565
2012,Richmond,Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1240,519,888,443,1052
2012,Suffolk,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Congestive Heart Failure,1241,750,1960,596,1592
2012,Bronx,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,1244,1111,1943,364,675
2012,Niagara,Non-Dual,Substance Abuse,Opioid Abuse,1245,463,866,735,2122
2012,Monroe,Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,1249,632,974,365,843
2012,Richmond,Dual,Diseases And Disorders Of The Cardiovascular System,Congestive Heart Failure,1249,806,1299,277,593
2012,Ulster,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1255,372,718,704,2430
2012,Erie,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Congestive Heart Failure,1257,776,1977,782,2800
2012,Orange,Non-Dual,Substance Abuse,Chronic Alcohol Abuse,1257,634,1392,726,2737
2012,Rensselaer,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1257,404,773,802,2957
2012,Madison,Non-Dual,Mental Diseases And Disorders,Depression,1259,260,492,653,2156
2012,Oneida,Non-Dual,Substance Abuse,Chronic Alcohol Abuse,1261,627,1365,710,2444
2012,Rensselaer,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1264,131,195,575,1430
2012,New York,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,1273,811,2230,546,1722
2012,Niagara,Non-Dual,Substance Abuse,Drug Abuse - Cannabis/NOS/NEC,1273,545,1057,791,2423
2012,Orange,Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1276,642,990,540,1775
2012,Bronx,Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,1278,1125,2471,379,808
2012,Bronx,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,1282,1074,3625,662,2249
2012,Niagara,Non-Dual,Substance Abuse,Chronic Alcohol Abuse,1286,597,1118,797,2462
2012,Albany,Non-Dual,Substance Abuse,Drug Abuse - Cannabis/NOS/NEC,1290,543,1282,856,4055
2012,Schenectady,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1293,500,998,803,2699
2012,Montgomery,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1294,211,348,611,1898
2012,Queens,Dual,Substance Abuse,Chronic Alcohol Abuse,1400,825,1714,448,1317
2012,Bronx,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,1296,956,3394,646,2292
2012,Kings,Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,1297,869,1525,247,484
2012,Chemung,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1302,377,661,821,3289
2012,Bronx,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,1303,686,1309,324,530
2012,Kings,Non-Dual,Diseases And Disordes Of The Respiratory System,Chronic Bronchitis,1309,232,679,268,951
2012,Saratoga,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1310,135,244,428,1055
2012,Nassau,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Congestive Heart Failure,1313,771,1929,490,1174
2012,Cattaraugus,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1314,264,419,728,2128
2012,Westchester,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,1314,495,1153,787,2644
2012,Kings,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,1317,1075,3712,646,2562
2012,Rensselaer,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1317,332,691,804,3177
2012,Suffolk,Dual,Diseases And Disorders Of The Cardiovascular System,Angina and Ischemic Heart Disease,1322,798,1335,380,768
2012,Erie,Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1323,801,1227,546,1490
2012,Kings,Dual,Diseases And Disordes Of The Respiratory System,Other Major Chronic Pulmonary Diagnoses,1334,1106,2190,362,862
2012,New York,Non-Dual,Diseases And Disorders Of The Cardiovascular System,History of Myocardial Infarction,1334,1210,4193,732,3483
2012,Richmond,Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1341,759,1253,375,820
2012,Dutchess,Non-Dual,Diabetes Mellitus,Diabetes,1344,357,709,625,1881
2012,Steuben,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1347,289,498,754,2299
2012,Monroe,Non-Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,1349,391,829,823,2899
2012,Clinton,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1351,265,463,768,2665
2012,Suffolk,Non-Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,1353,792,2194,859,3342
2012,Erie,Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,1357,769,1014,377,832
2012,Ontario,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1357,245,429,638,1794
2012,Broome,Dual,Diabetes Mellitus,Diabetes,1361,429,557,424,1391
2012,Erie,Dual,Mental Diseases And Disorders,Bi-Polar Disorder,1361,484,739,559,1992
2012,Niagara,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1365,646,1375,837,2817
2012,Onondaga,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1375,576,1422,746,3059
2012,Bronx,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,1386,1060,2554,706,1968
2012,Nassau,Non-Dual,Substance Abuse,Other Significant Drug Abuse,1388,656,1829,768,2505
2012,Onondaga,Non-Dual,Substance Abuse,Cocaine Abuse,1388,798,1921,896,4048
2012,Schenectady,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1392,345,727,844,3153
2012,Cayuga,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1393,281,540,613,1850
2012,Erie,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,1395,769,1764,822,3177
2012,Fulton,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1396,245,450,852,2803
2012,Queens,Non-Dual,Diabetes Mellitus,Diabetic Nephropathy,1399,577,1613,424,926
2012,Richmond,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,1402,709,1780,519,1569
2012,Niagara,Dual,Diabetes Mellitus,Diabetes,1403,537,762,490,1152
2012,Bronx,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,1407,1089,1944,396,711
2012,Chautauqua,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1410,367,706,814,2725
2012,Nassau,Dual,Mental Diseases And Disorders,Bi-Polar Disorder,1411,614,1119,486,1146
2012,Queens,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,1411,869,2582,525,1502
2012,Onondaga,Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,1412,717,1135,469,1498
2012,New York,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,1414,621,1006,309,506
2012,Fulton,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1419,243,459,669,1891
2012,New York,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,1420,485,953,477,1060
2012,Richmond,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Angina and Ischemic Heart Disease,1423,590,1397,495,1560
2012,Broome,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1425,91,141,507,1115
2012,Erie,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1426,1008,2697,1014,5287
2012,Oneida,Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1426,759,1127,468,1400
2012,Albany,Dual,Mental Diseases And Disorders,Depression,1428,597,972,624,2333
2012,Bronx,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,1429,662,1142,371,616
2012,Richmond,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1430,604,1487,660,1872
2012,Rensselaer,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1432,418,758,874,3283
2012,Bronx,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,1445,1202,4174,740,2214
2012,Cayuga,Non-Dual,Mental Diseases And Disorders,Depression,1448,320,577,741,2364
2012,Orange,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1448,172,292,545,1278
2012,Monroe,Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,1449,1026,1651,586,1843
2012,Saratoga,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1452,292,602,682,2422
2012,Bronx,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,1456,970,3301,966,4363
2012,Queens,Non-Dual,Substance Abuse,Delirium Tremens,1457,1418,5522,917,5082
2012,Queens,Non-Dual,Substance Abuse,Other Significant Drug Abuse - Continuous,1457,1216,4644,920,3995
2012,Wayne,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1457,290,455,664,1757
2012,Oneida,Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1458,380,586,507,1656
2012,New York,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,1469,577,936,382,724
2012,Schenectady,Non-Dual,Diabetes Mellitus,Diabetes,1473,393,761,763,2307
2012,Suffolk,Non-Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",1480,415,1099,692,2145
2012,Dutchess,Dual,Diabetes Mellitus,Diabetes,1491,516,701,435,987
2012,New York,Non-Dual,Diabetes Mellitus,Diabetic Retinopathy,1493,432,1020,565,1293
2012,Oneida,Non-Dual,Substance Abuse,Drug Abuse - Cannabis/NOS/NEC,1494,683,1447,866,3078
2012,Sullivan,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1497,299,509,764,2127
2012,Westchester,Dual,Diseases And Disordes Of The Respiratory System,Asthma,1497,774,1254,605,1701
2012,Onondaga,Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1498,778,1186,497,1638
2012,Albany,Non-Dual,Substance Abuse,Chronic Alcohol Abuse,1502,723,1538,994,4162
2012,Saratoga,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1504,411,569,379,874
2012,Monroe,Non-Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",1505,265,598,793,2779
2012,Onondaga,Non-Dual,Substance Abuse,Opioid Abuse,1510,718,1681,837,3802
2012,Richmond,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder,1511,739,2081,877,3332
2012,St Lawrence,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1511,448,628,479,1073
2012,Westchester,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1513,601,1717,849,2980
2012,Monroe,Non-Dual,Mental Diseases And Disorders,Post Traumatic Stress Disorder,1515,457,905,919,3967
2012,Chautauqua,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1517,532,1009,919,3093
2012,Richmond,Non-Dual,Substance Abuse,Other Significant Drug Abuse,1519,758,2252,844,2886
2012,Jefferson,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1523,309,543,903,2982
2012,Sullivan,Non-Dual,Mental Diseases And Disorders,Depression,1525,387,714,754,2239
2012,New York,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Valvular Disorders,1526,747,2623,633,2248
2012,Erie,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Angina and Ischemic Heart Disease,1531,654,1407,879,3055
2012,Queens,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Chronic Cardiovascular Diagnoses - Minor,1534,1092,2729,691,2200
2012,Westchester,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1538,714,1838,831,2514
2012,Kings,Non-Dual,Diabetes Mellitus,Diabetic Nephropathy,1539,860,2684,633,1816
2012,Nassau,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1554,1009,2704,771,2253
2012,Niagara,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1556,166,281,621,1356
2012,Kings,Non-Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,1557,630,1718,555,1419
2012,Chautauqua,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1559,141,235,649,1394
2012,Monroe,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1559,1069,1811,745,3165
2012,Niagara,Non-Dual,Diabetes Mellitus,Diabetes,1562,424,900,757,2060
2012,Bronx,Dual,Diseases And Disorders Of The Cardiovascular System,Valvular Disorders,1569,1083,2183,458,832
2012,Monroe,Non-Dual,Substance Abuse,Other Significant Drug Abuse,1574,676,1462,944,4163
2012,New York,Non-Dual,Diabetes Mellitus,Other Diabetic Complications,1579,864,2933,785,2936
2012,Onondaga,Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1592,411,710,539,2018
2012,Westchester,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Coronary Atherosclerosis,1593,872,2219,795,2706
2012,Erie,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,1599,749,1725,1032,4005
2012,Rockland,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1601,288,665,578,1650
2012,Rockland,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1604,417,937,656,1874
2012,Bronx,Dual,Substance Abuse,Opioid Abuse,1606,722,1655,533,1503
2012,Broome,Non-Dual,Diabetes Mellitus,Diabetes,1606,415,740,724,2154
2012,New York,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Device Status,1611,1132,1757,430,852
2012,New York,Dual,Diabetes Mellitus,Diabetic Retinopathy,1615,608,928,429,755
2012,Westchester,Non-Dual,Mental Diseases And Disorders,"Conduct, Impulse Control, and Other Disruptive Behavior Disorders",1615,421,1054,782,2477
2012,Erie,Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,1624,1203,1752,646,1614
2012,New York,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,1624,1126,4147,1069,5037
2012,Queens,Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,1630,1337,2352,430,852
2012,Onondaga,Non-Dual,Mental Diseases And Disorders,Bi-Polar Disorder,1635,617,1687,989,4947
2012,Bronx,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Unstable Angina,1637,1426,4613,896,3166
2012,Nassau,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1637,664,1593,702,1831
2012,Rensselaer,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1639,553,893,627,2043
2012,Monroe,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1642,675,1794,952,4976
2012,New York,Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,1646,1495,2355,490,1046
2012,Queens,Dual,Diseases And Disorders Of The Cardiovascular System,History of Coronary Artery Bypass Graft,1646,1362,2148,376,707
2012,Saratoga,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1650,318,586,769,2287
2012,Suffolk,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,1652,917,2291,800,2279
2012,St Lawrence,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1654,356,667,1064,3653
2012,Queens,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,1658,513,949,396,734
2012,Bronx,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,1661,1149,3294,732,2098
2012,Queens,Non-Dual,Substance Abuse,Opioid Abuse - Continuous,1663,1317,4632,1006,4186
2012,New York,Dual,Diabetes Mellitus,Other Diabetic Complications,1664,1065,1917,549,1235
2012,Schenectady,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1675,199,313,698,1564
2012,Albany,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1676,189,321,640,1571
2012,Erie,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1680,508,781,525,1658
2012,Kings,Dual,Diseases And Disorders Of The Cardiovascular System,Pulmonary Hypertension,1683,1400,2652,393,859
2012,Richmond,Non-Dual,Substance Abuse,Drug Abuse - Cannabis/NOS/NEC,1684,985,2874,1055,4198
2012,Westchester,Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1686,625,1088,618,1722
2012,Dutchess,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1691,414,936,999,3845
2012,Westchester,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1695,687,1128,466,1028
2012,Fulton,Non-Dual,Mental Diseases And Disorders,Depression,1699,353,638,919,2742
2012,Kings,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Ventricular and Atrial Septal Defects,1702,1279,2065,606,1272
2012,Nassau,Dual,Diseases And Disordes Of The Respiratory System,Asthma,1706,916,1458,489,1052
2012,Wayne,Non-Dual,Mental Diseases And Disorders,Depression,1710,353,584,853,2352
2012,Richmond,Dual,Mental Diseases And Disorders,Depression,1711,841,1359,538,1278
2012,Suffolk,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1712,1178,1844,571,1387
2012,Schenectady,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1713,521,821,604,1453
2012,Suffolk,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1716,629,1983,915,3405
2012,Ulster,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1717,397,865,922,3224
2012,Monroe,Dual,Diseases And Disordes Of The Respiratory System,Asthma,1724,810,1258,815,3217
2012,Cattaraugus,Non-Dual,Mental Diseases And Disorders,Depression,1732,393,671,950,3068
2012,Broome,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1735,372,695,960,3383
2012,Richmond,Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1746,490,783,464,1026
2012,Albany,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1747,560,1199,1061,4022
2012,Bronx,Dual,Diabetes Mellitus,Diabetic Nephropathy,1748,1099,2111,532,902
2012,Clinton,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1750,359,667,929,3105
2012,Oneida,Dual,Mental Diseases And Disorders,Depression,1752,733,1091,616,2003
2012,Nassau,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1753,1225,1954,454,839
2012,Westchester,Dual,Diseases And Disorders Of The Cardiovascular System,Atrial Fibrillation,1757,921,1335,424,839
2012,Ontario,Non-Dual,Mental Diseases And Disorders,Depression,1770,311,540,882,2601
2012,Niagara,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1772,501,1033,990,3121
2012,New York,Dual,Substance Abuse,Chronic Alcohol Abuse,1774,1358,3155,801,3409
2012,Schenectady,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1774,516,966,1007,3237
2012,Suffolk,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1776,1197,3159,966,3637
2012,New York,Non-Dual,Substance Abuse,Drug Abuse Related Diagnoses,1778,1392,7683,1205,7778
2012,Queens,Dual,Diabetes Mellitus,Diabetes - Juvenile Onset,1780,751,1193,385,717
2012,Nassau,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Angina and Ischemic Heart Disease,1781,767,1837,607,1468
2012,Albany,Dual,Diabetes Mellitus,Diabetes,1786,596,915,680,1868
2012,Queens,Dual,Diabetes Mellitus,Diabetes with Circulatory Complication,1787,728,1155,337,560
2012,Kings,Non-Dual,Mental Diseases And Disorders,Major Personality Disorders,1789,1346,4900,1132,5989
2012,Richmond,Non-Dual,Substance Abuse,Chronic Alcohol Abuse,1794,1310,3841,1101,4524
2012,Chautauqua,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1795,444,608,453,885
2012,Nassau,Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Minor,1798,772,1236,411,805
2012,Dutchess,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1801,609,1352,1087,4207
2012,Nassau,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Malignant and Other Significant Hypertension,1803,843,2030,641,1556
2012,Oswego,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1815,370,736,805,2434
2012,Suffolk,Dual,Diseases And Disordes Of The Respiratory System,Asthma,1815,936,1479,723,2037
2012,Sullivan,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1824,386,705,813,2149
2012,Bronx,Dual,Mental Diseases And Disorders,Depressive Psychosis - Severe,1834,595,1053,567,1088
2012,Cattaraugus,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1838,341,616,878,2516
2012,Broome,Non-Dual,Mental Diseases And Disorders,Schizophrenia,1839,387,724,953,2989
2012,Westchester,Non-Dual,Substance Abuse,Opioid Abuse,1849,843,2230,1082,3815
2012,Kings,Dual,Diseases And Disorders Of The Cardiovascular System,Cardiomyopathy,1851,1327,2475,482,1009
2012,Ulster,Dual,Diseases And Disorders Of The Cardiovascular System,Hypertension,1853,631,990,707,1793
2012,Monroe,Non-Dual,Mental Diseases And Disorders,Chronic Mental Health Diagnoses - Moderate,1860,711,1544,1172,5499
2012,Albany,Non-Dual,Mental Diseases And Disorders,Chronic Stress and Anxiety Diagnoses,1870,517,1195,1117,5072
2012,Clinton,Non-Dual,Mental Diseases And Disorders,Depression,1872,401,691,1068,3524
2012,Rockland,Dual,Diabetes Mellitus,Diabetes,1883,634,910,461,943
2012,Erie,Dual,Diseases And Disordes Of The Respiratory System,Asthma,1889,816,1210,847,2541
2012,New York,Dual,Diseases And Disorders Of The Cardiovascular System,Valvular Disorders,1889,998,1682,479,938
2012,Queens,Dual,Diabetes Mellitus,Diabetic Retinopathy,1896,671,1039,381,613
2012,Richmond,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1897,239,502,747,1622
2012,Orange,Dual,Diabetes Mellitus,Diabetes,1906,714,1054,712,1872
2012,New York,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Other Cardiovascular Diagnoses - Major,1907,1433,4803,976,3593
2012,Erie,Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1908,663,1027,767,2316
2012,Bronx,Non-Dual,Diabetes Mellitus,Diabetic Nephropathy,1911,931,2966,863,2266
2012,Bronx,Dual,Substance Abuse,Chronic Alcohol Abuse,1912,1505,3051,792,2356
2012,Monroe,Dual,Diseases And Disordes Of The Respiratory System,Chronic Obstructive Pulmonary Disease and Bronchiectasis,1914,1007,1588,693,2049
2012,Oneida,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1922,668,1453,1065,3425
2012,Oswego,Non-Dual,Diseases And Disordes Of The Respiratory System,Asthma,1922,394,729,794,2181
2012,Orange,Non-Dual,Mental Diseases And Disorders,Depressive and Other Psychoses,1933,682,1458,1133,4000
2012,Queens,Dual,Diseases And Disorders Of The Cardiovascular System,History of Percutaneous Transluminal Coronary Angioplasty,1940,1753,2863,542,1044
2012,Albany,Non-Dual,Diabetes Mellitus,Diabetes,1952,548,1100,1006,3252
2012,Monroe,Non-Dual,Diseases And Disorders Of The Cardiovascular System,Cardiac Dysrhythmia and Conduction Disorders,1953,1313,3575,1587,10602
2012,Oneida,Non-Dual,Mental Diseases And Disorders,Attention Deficit / Hyperactivity Disorder,1959,208,404,782,1712
2012,Monroe,Non-Dual,Diseases And Disordes Of The Respiratory System,Other Chronic Pulmonary Diagnoses,1960,716,1721,1151,4266
